순번,일자,채널,지역,분임,답변자,내용,예정시간,상태
1,2026-06-13,유튜브,서울,1조,김민경,"(시민A) 가속화된 기후변화는 노동환경의 안전 보전 방식을 근본적으로 재정의할 것을 요구하고 있음, 기상 여건은 단순한 불편함을 넘어 노동자의 생?",14:00,대기
2,2026-06-13,유튜브,서울미래,2조,김민경,(시민A) 폭염·한파·미세먼지 등 기후위기 영향이 심화되면서 주거환경이 시민 건강에 미치는 영향이 커지고 있음○ 노후 주택은 단열 성능이 낮고 냉?,14:03,대기
3,2026-06-13,유튜브,대전,3조,김민경,(시민A) 폭염은 이제 '재난'이다 - 기후위기로 한국의 여름은 매년 더 길고 더 뜨거워지고 있음?,14:06,대기
4,2026-06-13,유튜브,대구,4조,김민경,"(시민A) 기후위기는 더 이상 장기적 환경 문제가 아니라 시민의 건강, 주거, 이동, 노동, 먹거리 가격에 영향을 주는 생활위험임?",14:09,대기
5,2026-06-13,유튜브,광주,5조,유종민,"(시민A) 우리나라는 2035년 국가 온실가스 감축목표를 2018년 순배출량 7억 4,230만 톤CO₂eq 대비 53~61% 감축으로 확정?",14:12,대기
6,2026-06-13,유튜브,부산,6조,김민경,(시민A) 한국은행 조병수(2024)는 폭염 등으로 기온이 1℃ 상승하면 농산물가격 상승률이 0?,14:15,대기
7,2026-06-13,유튜브,서울,7조,은재호,(시민B) 기후위기가 현실화되는 시점에 ‘적응의 주류화’를 넘어 ‘기후위기 대응의 주류화(적응+감축)’ 필요○ 이를 위해 가장 먼저 해결해야 할?,14:18,대기
8,2026-06-13,유튜브,서울미래,8조,공통,"(시민B) 최근 폭염·집중호우·태풍·산불 등 기후재난이 빈번해지면서 농촌 지역의 정전, 통신 장애, 용수 공급 중단 피해가 증가하고 있음○ 농촌은?",14:21,대기
9,2026-06-13,유튜브,대전,9조,유종민,"(시민B) 철강, 석유화학, 시멘트 등 에너지다소비 산업의 저탄소 전환은 탄소 중립 달성을 위해 필수적이나, 수소환원제철, 전기로 전환, CCUS?",14:24,대기
10,2026-06-13,유튜브,대구,10조,유종민,"(시민B) 우리나라 역시 2050 탄소중립 목표 달성을 추진 중이나, 에너지 전환 과정에서 전기요금·연료비·교통비·생활물가 상승 가능성이 커지고?",14:27,대기
11,2026-06-13,유튜브,광주,11조,유종민,"(시민B) 2024년 산업 부문 온실가스 배출량은 2억 8,590만 톤으로 전년 대비 0?",14:30,대기
12,2026-06-13,유튜브,부산,12조,유종민,(시민B) 탈내연기관차 판매 및 등록 중지 정책은 유럽 주요 국가에서 실행되고 있음?,14:33,대기
13,2026-06-13,유튜브,서울,13조,유종민,"(시민C) 재생에너지는 탄소중립과 기후위기 대응을 위한 핵심 정책 수단임○ 그러나 재생에너지 확대 과정에서 입지 갈등, 경관 훼손, 외부 사업자?",14:36,대기
14,2026-06-13,유튜브,서울미래,14조,유종민,(시민C) 탄소중립을 위한 전력화와 AI·데이터센터·반도체 등 전력다소비 산업 성장으로 전력수요가 빠르게 증가하고 있음○ 전력수요 시설은 수도권에?,14:39,대기
