group_id,group_name,photo_urls,caption,updated_at
1,탄소중립의 빛나는 별들,"https://picsum.photos/seed/group1a/1200/800, https://picsum.photos/seed/group1b/1200/800, https://picsum.photos/seed/group1c/1200/800",조원 자작 이름표 + 단체 사진,2026-06-13 10:48:15
2,적응왕 거북이조,"https://picsum.photos/seed/group2a/1200/800, https://picsum.photos/seed/group2b/1200/800",룸4 단체 인증샷,2026-06-13 10:51:02
3,에너지 정의 연대조,"https://picsum.photos/seed/group3a/1200/800, https://picsum.photos/seed/group3b/1200/800, https://picsum.photos/seed/group3c/1200/800",포스트잇 깃발,2026-06-13 10:53:30
4,재생가능 미래조,https://picsum.photos/seed/group4a/1200/800,조원 4명 단체,2026-06-13 10:55:10
5,그린뉴딜 도약조,"https://picsum.photos/seed/group5a/1200/800, https://picsum.photos/seed/group5b/1200/800",,2026-06-13 10:57:25
6,기후정의 실천단,"https://picsum.photos/seed/group6a/1200/800, https://picsum.photos/seed/group6b/1200/800",대형 종이 손글씨,2026-06-13 11:00:08
7,지속가능 동행조,https://picsum.photos/seed/group7a/1200/800,,2026-06-13 11:02:14
8,에너지전환 길잡이,"https://picsum.photos/seed/group8a/1200/800, https://picsum.photos/seed/group8b/1200/800, https://picsum.photos/seed/group8c/1200/800",조원 자작 명함,2026-06-13 11:04:22
9,넷제로 챌린저조,"https://picsum.photos/seed/group9a/1200/800, https://picsum.photos/seed/group9b/1200/800",,2026-06-13 11:06:55
10,청정전환 파이오니어,"https://picsum.photos/seed/group10a/1200/800, https://picsum.photos/seed/group10b/1200/800, https://picsum.photos/seed/group10c/1200/800",조원 단체 + 깃발,2026-06-13 11:08:42
11,순환경제 디자이너,"https://picsum.photos/seed/group11a/1200/800, https://picsum.photos/seed/group11b/1200/800",,2026-06-13 11:10:30
12,적응사회 설계자,https://picsum.photos/seed/group12a/1200/800,4인 단체,2026-06-13 11:12:18
13,기후회복 옹호조,"https://picsum.photos/seed/group13a/1200/800, https://picsum.photos/seed/group13b/1200/800, https://picsum.photos/seed/group13c/1200/800",조이름 종이 깃발,2026-06-13 11:14:50
14,저탄소 일상 실천조,"https://picsum.photos/seed/group14a/1200/800, https://picsum.photos/seed/group14b/1200/800",,2026-06-13 11:16:25
15,미래세대 발언조,,사진 미도착 (폴백 테스트),2026-06-13 11:18:00
